time;direction;DLC;;id
0.619289;Rx;8;10 27 00 00 00 00 00 37;261
0.619577;Rx;8;00 07 E7 03 BE 11 C2 0F;417333248x
0.619863;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.620112;Rx;8;00 02 00 00 02 00 00 00;18
0.637923;Rx;8;22 FF FF FF FF FF FF FF;516
0.638163;Rx;8;C6 0F 12 B0 0F 05 00 00;517
0.638409;Rx;8;38 01 37 02 00 00 00 00;518
0.643684;Rx;8;25 03 00 00 00 00 00 28;258
0.643934;Rx;8;00 00 00 00 00 00 00 00;259
0.644182;Rx;8;B2 20 00 00 00 00 00 D2;260
0.644430;Rx;8;10 27 00 00 00 00 00 37;261
0.644718;Rx;8;00 07 E7 03 C0 11 C2 0F;417333248x
0.645004;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.651890;Rx;8;02 00 00 00 24 00 CB 02;785
0.653896;Rx;8;00 02 00 00 02 00 00 00;18
0.658639;Rx;8;25 03 00 00 00 00 00 28;258
0.658889;Rx;8;00 00 00 00 00 00 00 00;259
0.659137;Rx;8;B2 20 00 00 00 00 00 D2;260
0.659385;Rx;8;10 27 00 00 00 00 00 37;261
0.659671;Rx;8;00 07 E7 03 DE 11 C2 0F;417333248x
0.659957;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.661893;Rx;8;00 00 3C 37 00 00 00 00;274
0.671901;Rx;8;01 00 00 00 00 00 00 00;275
0.673885;Rx;8;05 05 03 03 01 00 03 03;789
0.674893;Rx;8;00 02 00 00 02 00 00 00;18
0.678692;Rx;8;25 03 00 00 00 00 00 28;258
0.678942;Rx;8;00 00 00 00 00 00 00 00;259
0.679190;Rx;8;B2 20 00 00 00 00 00 D2;260
0.679438;Rx;8;10 27 00 00 00 00 00 37;261
0.679728;Rx;8;00 07 E7 03 F0 11 C2 0F;417333248x
0.680014;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.695890;Rx;8;00 02 00 00 02 00 00 00;18
0.698752;Rx;8;25 03 00 00 00 00 00 28;258
0.699002;Rx;8;00 00 00 00 00 00 00 00;259
0.699251;Rx;8;B2 20 00 00 00 00 00 D2;260
0.699499;Rx;8;10 27 00 00 00 00 00 37;261
0.699785;Rx;8;00 07 E7 03 04 12 C5 0F;417333248x
0.700071;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.716890;Rx;8;00 02 00 00 02 00 00 00;18
0.718791;Rx;8;25 03 00 00 00 00 00 28;258
0.719041;Rx;8;00 00 00 00 00 00 00 00;259
0.719289;Rx;8;B2 20 00 00 00 00 00 D2;260
0.719537;Rx;8;10 27 00 00 00 00 00 37;261
0.719819;Rx;8;00 07 E7 03 18 12 C5 0F;417333248x
0.720105;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.721896;Rx;8;50 35 15 32 33 00 00 00;791
0.736781;Rx;8;03 03 01 02 00 00 00 00;771
0.737025;Rx;8;18 04 1C 00 00 16 02 00;770
0.737275;Rx;8;05 00 00 00 00 00 00 00;772
0.737885;Rx;8;00 02 00 00 02 00 00 00;18
0.738193;Rx;8;00 00 C8 00 00 00 07 CF;513
0.738441;Rx;8;08 01 00 00 00 00 00 09;514
0.738677;Rx;8;80 B1 CF EC 33 FB C8 3E;515
0.739838;Rx;8;25 03 00 00 00 00 00 28;258
0.740088;Rx;8;00 00 00 00 00 00 00 00;259
0.740336;Rx;8;B2 20 00 00 00 00 00 D2;260
0.740584;Rx;8;10 27 00 00 00 00 00 37;261
0.740872;Rx;8;00 07 E7 03 2C 12 C2 0F;417333248x
0.741158;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.758890;Rx;8;25 03 00 00 00 00 00 28;258
0.759140;Rx;8;00 00 00 00 00 00 00 00;259
0.759388;Rx;8;B2 20 00 00 00 00 00 D2;260
0.759636;Rx;8;10 27 00 00 00 00 00 37;261
0.759922;Rx;8;00 07 E7 03 40 12 C5 0F;417333248x
0.760208;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.765870;Rx;8;02 00 00 00 23 00 CB 02;785
0.771878;Rx;8;00 02 00 00 02 00 00 00;18
0.775908;Rx;8;00 00 3C 37 00 00 00 00;274
0.778940;Rx;8;25 03 00 00 00 00 00 28;258
0.779190;Rx;8;00 00 00 00 00 00 00 00;259
0.779439;Rx;8;B2 20 00 00 00 00 00 D2;260
0.779687;Rx;8;10 27 00 00 00 00 00 37;261
0.779973;Rx;8;00 07 E7 03 52 12 C2 0F;417333248x
0.780259;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.785901;Rx;8;01 00 00 00 00 00 00 00;275
0.792903;Rx;8;00 02 00 00 02 00 00 00;18
0.798983;Rx;8;25 03 00 00 00 00 00 28;258
0.799233;Rx;8;00 00 00 00 00 00 00 00;259
0.799482;Rx;8;B2 20 00 00 00 00 00 D2;260
0.799730;Rx;8;10 27 00 00 00 00 00 37;261
0.800014;Rx;8;00 07 E7 03 61 12 C2 0F;417333248x
0.800300;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.813892;Rx;8;00 02 00 00 02 00 00 00;18
0.819030;Rx;8;25 03 00 00 00 00 00 28;258
0.819280;Rx;8;00 00 00 00 00 00 00 00;259
0.819528;Rx;8;B2 20 00 00 00 00 00 D2;260
0.819777;Rx;8;10 27 00 00 00 00 00 37;261
0.820061;Rx;8;00 07 E7 03 7D 12 C5 0F;417333248x
0.820347;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.834892;Rx;8;00 02 00 00 02 00 00 00;18
0.838393;Rx;8;E0 38 37 38 38 FF FF FF;516
0.838633;Rx;8;C6 0F 12 B0 0F 05 00 00;517
0.838879;Rx;8;38 01 37 02 00 00 00 00;518
0.840897;Rx;8;00 00 00 00 00 00 00 00;799
0.843991;Rx;8;25 03 00 00 00 00 00 28;258
0.844241;Rx;8;00 00 00 00 00 00 00 00;259
0.844490;Rx;8;B2 20 00 00 00 00 00 D2;260
0.844738;Rx;8;10 27 00 00 00 00 00 37;261
0.845020;Rx;8;00 07 E7 03 8E 12 CF 0F;417333248x
0.845306;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.855890;Rx;8;00 02 00 00 02 00 00 00;18
0.859146;Rx;8;25 03 00 00 00 00 00 28;258
0.859396;Rx;8;00 00 00 00 00 00 00 00;259
0.859644;Rx;8;B2 20 00 00 00 00 00 D2;260
0.859892;Rx;8;10 27 00 00 00 00 00 37;261
0.860173;Rx;8;00 07 E7 03 A5 12 C5 0F;417333248x
0.860459;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.879168;Rx;8;25 03 00 00 00 00 00 28;258
0.879418;Rx;8;00 00 00 00 00 00 00 00;259
0.879666;Rx;8;B2 20 00 00 00 00 00 D2;260
0.879914;Rx;8;10 27 00 00 00 00 00 37;261
0.880154;Rx;8;02 00 00 00 22 00 CB 02;785
0.880435;Rx;8;00 07 E7 03 B9 12 C5 0F;417333248x
0.880721;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.889891;Rx;8;00 02 00 00 02 00 00 00;18
0.890891;Rx;8;00 00 3C 37 00 00 00 00;274
0.899229;Rx;8;25 03 00 00 00 00 00 28;258
0.899479;Rx;8;00 00 00 00 00 00 00 00;259
0.899728;Rx;8;B2 20 00 00 00 00 00 D2;260
0.899976;Rx;8;10 27 00 00 00 00 00 37;261
0.900224;Rx;8;01 00 00 00 00 00 00 00;275
0.900506;Rx;8;00 07 E7 03 D0 12 C5 0F;417333248x
0.900792;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.901032;Rx;8;05 05 03 03 01 00 03 03;789
0.910888;Rx;8;00 02 00 00 02 00 00 00;18
0.919287;Rx;8;25 03 00 00 00 00 00 28;258
0.919537;Rx;8;00 00 00 00 00 00 00 00;259
0.919785;Rx;8;B2 20 00 00 00 00 00 D2;260
0.920033;Rx;8;10 27 00 00 00 00 00 37;261
0.920321;Rx;8;00 07 E7 03 E4 12 C2 0F;417333248x
0.920607;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.931889;Rx;8;00 02 00 00 02 00 00 00;18
0.935273;Rx;8;60 00 2C 04 F3 01 2C 04;417333249x
0.936270;Rx;8;00 33 01 22 08 02 02 00;773
0.936508;Rx;8;00 33 01 22 08 03 01 01;774
0.936798;Rx;8;00 00 00 00 00 00 01 00;417333259x
0.937262;Rx;8;03 03 01 02 00 00 00 00;771
0.937506;Rx;8;18 04 1C 00 00 16 02 00;770
0.937740;Rx;8;01 30 33 4E 4D 45 30 38;772
0.938650;Rx;8;00 00 C8 00 00 00 07 CF;513
0.938899;Rx;8;08 01 00 00 00 00 00 09;514
